feedback_id,customer_id,rating,review_text,sentiment_score,feedback_date,created_at
1,1,4,Great product! Highly recommend.,0.55,2024-11-07,2026-02-12 12:59:22
2,1,5,Great product! Highly recommend.,0.63,2024-11-01,2026-02-12 12:59:22
3,3,3,It's okay. Average product.,-0.11,2024-05-19,2026-02-12 12:59:22
4,3,4,Great product! Highly recommend.,0.57,2024-03-28,2026-02-12 12:59:22
5,3,5,Amazing! Will buy again.,0.83,2024-11-29,2026-02-12 12:59:22
6,7,4,Great product! Highly recommend.,0.66,2024-10-26,2026-02-12 12:59:22
7,7,4,Perfect! Exceeded expectations.,0.76,2022-08-03,2026-02-12 12:59:22
8,13,1,Not worth the price.,-0.46,2024-03-28,2026-02-12 12:59:22
9,13,2,Poor quality. Would not recommend.,-0.73,2022-12-06,2026-02-12 12:59:22
10,17,5,Great product! Highly recommend.,0.68,2024-02-23,2026-02-12 12:59:22
11,18,4,Amazing! Will buy again.,0.55,2024-04-22,2026-02-12 12:59:22
12,18,2,Took too long to arrive.,-0.86,2024-04-05,2026-02-12 12:59:22
13,18,5,Great product! Highly recommend.,0.71,2024-08-05,2026-02-12 12:59:22
14,24,5,Very satisfied with my purchase.,0.89,2024-03-31,2026-02-12 12:59:22
15,29,5,Very satisfied with my purchase.,0.63,2024-07-13,2026-02-12 12:59:22
16,30,1,Took too long to arrive.,-0.58,2024-11-25,2026-02-12 12:59:22
17,30,5,Very satisfied with my purchase.,0.52,2024-10-28,2026-02-12 12:59:22
18,30,4,Amazing! Will buy again.,0.83,2024-11-04,2026-02-12 12:59:22
19,31,5,Very satisfied with my purchase.,0.56,2024-08-27,2026-02-12 12:59:22
20,35,5,Very satisfied with my purchase.,0.96,2023-12-16,2026-02-12 12:59:22
21,35,4,Perfect! Exceeded expectations.,0.7,2024-04-30,2026-02-12 12:59:22
22,35,4,Great product! Highly recommend.,0.59,2024-09-16,2026-02-12 12:59:22
23,39,4,Perfect! Exceeded expectations.,0.79,2024-04-21,2026-02-12 12:59:22
24,39,5,Perfect! Exceeded expectations.,0.65,2024-10-03,2026-02-12 12:59:22
25,50,5,Amazing! Will buy again.,0.84,2023-07-26,2026-02-12 12:59:22
26,52,4,Amazing! Will buy again.,0.94,2024-11-27,2026-02-12 12:59:22
27,52,5,Excellent quality and fast shipping.,0.6,2024-12-03,2026-02-12 12:59:22
28,54,5,Very satisfied with my purchase.,0.85,2023-06-27,2026-02-12 12:59:22
29,59,2,Not worth the price.,-0.69,2024-12-09,2026-02-12 12:59:22
30,59,4,Very satisfied with my purchase.,0.85,2024-09-03,2026-02-12 12:59:22
31,59,5,Amazing! Will buy again.,0.56,2024-12-05,2026-02-12 12:59:22
32,62,2,Had to return it.,-0.69,2023-10-05,2026-02-12 12:59:22
33,62,4,Amazing! Will buy again.,0.82,2023-09-01,2026-02-12 12:59:22
34,64,4,Very satisfied with my purchase.,0.86,2023-07-09,2026-02-12 12:59:22
35,64,4,Excellent quality and fast shipping.,0.5,2023-05-09,2026-02-12 12:59:22
36,64,4,Very satisfied with my purchase.,0.91,2022-12-19,2026-02-12 12:59:22
37,66,5,Great product! Highly recommend.,0.74,2023-02-05,2026-02-12 12:59:22
38,66,4,Great product! Highly recommend.,0.84,2023-04-09,2026-02-12 12:59:22
39,66,5,Great product! Highly recommend.,0.98,2024-10-29,2026-02-12 12:59:22
40,68,5,Excellent quality and fast shipping.,0.94,2023-11-06,2026-02-12 12:59:22
41,68,5,Perfect! Exceeded expectations.,0.86,2024-06-27,2026-02-12 12:59:22
42,72,5,Great product! Highly recommend.,0.68,2023-05-22,2026-02-12 12:59:22
43,72,4,Very satisfied with my purchase.,0.88,2023-04-22,2026-02-12 12:59:22
44,73,5,Perfect! Exceeded expectations.,0.94,2024-11-24,2026-02-12 12:59:22
45,73,4,Excellent quality and fast shipping.,0.76,2024-11-12,2026-02-12 12:59:22
46,73,4,Very satisfied with my purchase.,1.0,2024-01-11,2026-02-12 12:59:22
47,76,5,Excellent quality and fast shipping.,0.75,2022-11-23,2026-02-12 12:59:22
48,76,3,It's okay. Average product.,0.04,2023-06-04,2026-02-12 12:59:22
49,76,5,Great product! Highly recommend.,0.91,2022-10-13,2026-02-12 12:59:22
50,79,5,Very satisfied with my purchase.,0.86,2024-03-27,2026-02-12 12:59:22
51,89,2,Took too long to arrive.,-0.4,2024-05-30,2026-02-12 12:59:22
52,90,5,Excellent quality and fast shipping.,0.51,2023-08-13,2026-02-12 12:59:22
53,90,5,Excellent quality and fast shipping.,0.99,2024-02-26,2026-02-12 12:59:22
54,90,3,It's okay. Average product.,0.14,2024-02-20,2026-02-12 12:59:22
55,92,4,Amazing! Will buy again.,0.96,2024-09-17,2026-02-12 12:59:22
56,92,4,Excellent quality and fast shipping.,0.56,2024-10-24,2026-02-12 12:59:22
57,94,3,It's okay. Average product.,0.05,2024-11-19,2026-02-12 12:59:22
58,94,5,Amazing! Will buy again.,0.66,2024-12-26,2026-02-12 12:59:22
59,96,4,Very satisfied with my purchase.,0.55,2022-10-26,2026-02-12 12:59:22
60,96,4,Excellent quality and fast shipping.,0.65,2023-01-02,2026-02-12 12:59:22
